Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Eltanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2,22,0.01,1.5,4.7,318.49,2,1,37.3,1,neutral,4,4
Eltoprazine,O1c2cccc(c2OCC1)N1CCNCC1,3.6,8,,10.5,8.2,220.27,4,1,33.7,1,cationic,0.93,-0.46
Enalaprilat,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,0.38,1.6,0.62,4,39,348.39,7,3,106.9,8,anionic,0.73,-3.4
Enalkiren,C(CC(C)(N)C)(N[C@H](C(N[C@@H](Cc1c[nH]cn1)C(N[C@H]([C@H]([C@@H](O)CC(C)C)O)CC1CCCCC1)=O)=O)Cc1ccc(cc1)OC)=O,0.11,0.45,0.07,3.1,1.72,656.86,12,7,191.7,18,cationic,2.5,0.16
Encainide,COc1ccc(cc1)C(=O)Nc2ccccc2CCC3CCCCN3C,2.2,13,0.26,2.8,2.6,352.47,4,1,41.6,6,cationic,4.7,3
Endralazine,N\N=C\1/NN=C2CCN(CC2=C1)C(=O)c3ccccc3,2.2,13,,2.7,5.6,269.3,6,2,83.1,1,cationic,1.9,1.9
Enfuvirtide,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc5c[nH]c6c5cccc6)C(=O)N[C@@H](Cc7ccccc7)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc9ccc(cc9)O)NC(=O)C,0.07,0.36,0.08,3.2,4,4491.88,115,63,1902.9,151,anionic,-9,-9
Eniporide,Cc1cc(c(cc1C(=O)NC(=N)N)S(=O)(=O)C)n2cccc2,1.1,8.2,,2.3,2.2,320.37,7,3,118,4,neutral,0.4,0.24
Enoxacin,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3,2,5.4,0.8,6.2,5.1,320.32,7,2,85.8,3,zwitterionic,1.4,-1.1
Enoximone,c1(C(c2ccc(SC)cc2)=O)c([nH]c([nH]1)=O)C,1.48,19.1,0.3,1.33,1.94,248.3,4,2,65.7,3,neutral,1.3,1.3
Enprofylline,CCCN1C(=O)NC(=O)c2nc[nH]c12,0.63,4,0.55,2.6,1.8,194.19,6,2,78.1,2,anionic,-0.075,-1.4
Entacapone,CCN(CC)C(=O)\C(=C\c1cc(O)c(O)c(c1)N(=O)=O)\C#N,0.27,12,0.02,0.38,2.4,305.29,8,2,130.4,6,anionic,1.6,-0.08
Epiroprim,c1ccn(c2c(cc(Cc3c(nc(nc3)N)N)cc2OCC)OCC)c1,2.5,3.5,0.12,,9.4,353.42,7,2,101.2,7,neutral,3,2.9
Epirubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,45,20,0.25,38,36,543.52,12,6,206.1,5,cationic,0.46,-2.2
Epothilone folate,Cc1nc(cs1)/C=C(\C)/[C@@H]2C[C@H]3[C@H](N3CCOC(=O)OCCSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@@H](C(=O)O)NC(=O)c4ccc(cc4)NCc5c[nH]c-6nc(nc(=O)c6n5)N)CCC[C@@H]([C@@H]([C@H](C(=O)C([C@H](CC(=O)O2)O)(C)C)C)O)C,0.09,2.46,,0.6,0.5,1569.74,38,17,601.4,39,anionic,-1.9,-9
Epristeride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O,0.54,0.33,0.03,27,27,399.57,4,2,66.4,2,anionic,4.8,2.2
Eprosartan,CCCCc1ncc(\C=C(/Cc2cccs2)\C(=O)O)n1Cc3ccc(cc3)C(=O)O,0.17,1.9,0.017,1.5,2.1,424.51,6,2,92.4,10,anionic,4.4,-1.1
Eptaloprost,[H]OC(CCCOCC=C1C[C@H]2C[C@H]([C@@H](C#C[C@H]([C@@H](C)CC#CCC)O[H])[C@H]2C1)O[H])=O,2.4,66.2,,0.59,0.41,402.52,5,3,87,15,anionic,3,0.22
Eptifibatide,NC(=N)NCCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)C(Cc3c[nH]c4ccccc34)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)N,0.17,1.2,0.75,2.4,4.2,831.96,20,11,323.9,11,zwitterionic,-3.2,-5.5
Eravacycline,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)C3=C([C@@]2(C(=O)C(=C1O)C(=O)N)O)O)O)NC(=O)CN5CCCC5)F,2.3,3.71,0.18,10.3,,558.56,12,6,193.7,5,cationic,0.3,-3.9
Ergotamine,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,3.6,15,0.02,4,2.1,581.66,10,3,118.2,4,neutral,3.6,3.5
Eribulin,NC[C@@H](O)C[C@H]5O[C@H]4C[C@H]9O[C@@H](CC[C@@H]1O[C@H](CC1=C)CC[C@@]32O[C@@H]6[C@@H]8O[C@H](C2)[C@H](O3)[C@@H]8O[C@H]7CC[C@H](CC(=O)O[C@@H]4[C@H]5OC)O[C@H]67)C[C@@H](C)C9=C,1.46,0.75,0.43,32.5,37.8,731.87,13,2,155.6,4,cationic,2.1,0.36
Eritoran,CCCCCCCCCCCC(=O)CC(=O)N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO[C@@H]2O[C@H](COC)[C@@H](OP(=O)(O)O)[C@H](OCC[C@@H](CCCCCCC)OC)[C@H]2NC(=O)CCCCCCCCC\C=C/CCCCCC)[C@@H](O)[C@@H]1OCCCCCCCCCC,0.048,0.013,,62,51,1313.66,21,7,293.6,59,anionic,9,1.7
Erlotinib,n1cnc(c2cc(c(cc12)OCCOC)OCCOC)Nc1cc(ccc1)C#C,0.77,1.69,0.07,7.55,6.5,393.44,7,1,74.7,11,neutral,3.8,3.8
Ertapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)Nc4cccc(c4)C(=O)O,0.12,0.45,0.1,4.4,3.8,475.51,10,5,156.3,7,anionic,0.43,-4.8
Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.95,5.6,0.1,2.8,2,733.93,14,5,193.9,7,cationic,1.8,0.47
Escin Ia,C(O)[C@@]12[C@H](C3=CC[C@H]4[C@@]([C@@]3(C[C@H]2O)C)(C)CC[C@@H]2[C@]4(C)CC[C@@H]([C@@]2(CO)C)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)C(=O)O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC([C@H]([C@@H]1OC(=O)C)OC(=O)/C(=C/C)/C)(C)C,0.28,1.65,,2.85,2.4,1131.26,24,13,388,16,anionic,-1.2,-4.5
Escin Ib,C(O)[C@@]12[C@H](C3=CC[C@H]4[C@@]([C@@]3(C[C@H]2O)C)(C)CC[C@@H]2[C@]4(C)CC[C@@H]([C@@]2(CO)C)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)C(=O)O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC([C@H]([C@@H]1OC(=O)C)OC(=O)/C(=C\C)/C)(C)C,0.23,2.55,,1.5,1.8,1131.26,24,13,388,16,anionic,-1.2,-4.5
Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,1.2,290,0.59,0.07,0.15,295.37,5,2,67.8,10,cationic,2,0.18
Esomeprazole,c12c([nH]c(n1)[S@@](Cc1c(c(c(C)cn1)OC)C)=O)ccc(c2)OC,0.2,3.85,0.03,0.9,0.83,345.42,6,1,77.1,5,neutral,2.2,2.2
Estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1.2,30,0.016,0.7,1.7,272.38,2,2,40.5,0,neutral,3.7,3.7
Estramustine phosphate,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2OP(=O)(O)O,0.12,0.94,0.5,2.1,2.4,520.38,7,2,96.3,8,anionic,5,1
Ethacrynic Acid,CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.26,8.7,,0.5,0.5,303.14,4,1,63.6,6,anionic,2.8,-0.46
Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,1.7,10,0.18,2.7,3.1,204.31,4,4,64.5,9,cationic,-0.38,-2.5
Ethimizol,c1(c(ncn1CC)C(NC)=O)C(NC)=O,0.73,12.1,0.92,1,0.83,210.23,6,2,76,3,neutral,-0.55,-0.55
Ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,4.3,7,0.014,11,9.7,296.4,2,2,40.5,1,neutral,3.5,3.5
Ethinylestradiol-17-Sulfate,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(OS(=O)(=O)O)C#C,0.61,1.3,,7.8,9.3,376.47,5,2,83.8,3,anionic,1.9,1.8
Ethinylestradiol-3-Sulfate,C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(=O)(=O)O)ccc34)[C@@H]1CC[C@@]2(O)C#C,2.3,4.7,0.011,8.2,8.4,376.47,5,2,83.8,3,neutral,1.6,-1.9
Etilefrine,CCNCC(O)c1cccc(O)c1,2.1,14,0.77,2.5,2.2,181.23,3,3,52.5,4,cationic,0.57,-0.9
Etomidate,CCOC(=O)c1cncn1[C@H](C)c2ccccc2,2.7,13,0.23,2.9,3.5,244.29,4,0,44.1,5,neutral,2.8,2.8
Etonogestrel,[C@@]12([C@H]([C@H]3[C@H](C(=C)C2)[C@@H]2C(=CC(=O)CC2)CC3)CC[C@]1(C#C)O)CC,2.87,2,0.02,23.6,25,324.46,2,1,37.3,2,neutral,4,4
Etoposide,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,0.18,0.5,0.12,6,5.7,588.56,13,3,160.8,5,neutral,-0.43,-0.43
Etoricoxib,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C,1.5,0.79,0.081,32,26,358.84,4,0,59.9,3,neutral,3.5,3.5
Evacetrapib,Cc1cc(C)c2N(C[C@@H]3CC[C@H](CC3)C(=O)O)CCC[C@H](N(Cc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5nnn(C)n5)c2c1,1.82,0.84,0.001,36.15,51.94,638.65,8,1,87.4,7,zwitterionic,7.5,5.2
Exatecan (acid),O1C([C@@](c2cc3n(c(c2C1)=O)Cc1c2c4c(cc(c(c4CC[C@@H]2N)C)F)nc31)(CC)O)=O,0.44,0.96,,7.6,6.7,435.45,7,2,107.4,1,neutral,2,1.7
Ezogabine,C(Nc1c(cc(NCc2ccc(F)cc2)cc1)N)(=O)OCC,2.5,8.3,0.2,5,9,303.33,5,3,76.4,6,neutral,3.1,3.1
F992,O=C([C@H](CSCCCC(N[C@@H](C1=O)CC2=CC=CC=C2)=O)NC([C@@H](NC([C@@](C)(NC([C@@H](N1)CC3=CC=CS3)=O)CC)=O)CC(N)=O)=O)N(C[C@H](O)C4)[C@@H]4C(N[C@@H](C(NCC(N)=O)=O)CCCNC(N)=N)=O,0.31,0.87,,5.63,4.28,1028.21,24,13,392.3,18,cationic,-2.9,-6
Falipamil,C1(c2cc(c(OC)cc2CN1CCC[N@@](CCc1cc(c(cc1)OC)OC)C)OC)=O,2.4,15.71,0.12,2.62,2.04,428.52,7,0,60.5,11,cationic,3,2.3
Famotidine,NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1,1.2,6.6,0.84,3,2.8,337.45,9,6,170.8,9,neutral,-1.3,-1.4
Faropenem,C(=O)(O)C1=C(S[C@H]2N1C(=O)[C@@H]2[C@@H](C)O)[C@H]1CCCO1,0.18,2.23,,1.34,1.4,285.32,6,2,87.1,3,anionic,-1,-4.4
Fasudil,O=S(=O)(N1CCCNCC1)c2cccc3cnccc23,1.22,77.5,,0.26,0.44,291.37,5,1,62.3,2,cationic,1.2,0.49
Felodipine,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,4.4,11,0.0036,6.7,10,384.25,5,1,64.6,6,neutral,4.2,4.2
Fenoldopam,c12[C@@H](c3ccc(O)cc3)CNCCc1c(c(O)c(c2)O)Cl,0.5,41.5,0.12,0.2,1,305.76,4,4,72.7,1,cationic,2.7,1.9
Fenoprofen,C([C@@H](c1cc(Oc2ccccc2)ccc1)C)(=O)O,0.1,0.6,0.02,2.8,2.24,242.27,3,1,46.5,4,anionic,3.2,0.48
Fenoterol,CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,1.2,29,0.53,0.69,0.87,303.35,5,5,92.9,6,cationic,1.5,0.7
Fenspiride,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,3,2.6,,19,14,260.33,4,1,41.6,3,cationic,2,0.16
Fentanyl,CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,0.89,4.7,0.16,3.2,3,336.47,3,0,23.5,6,cationic,4.1,2.8
Fimasartan,CCCCc1nc(c(c(=O)n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)CC(=S)N(C)C)C,0.6,9.6,,1.1,5.5,501.65,8,1,92.6,10,cationic,4.1,0.71
Finafloxacin,c1c2c(c(c(c1F)N3C[C@H]4[C@H](C3)OCCN4)C#N)n(cc(c2=O)C(=O)O)C5CC5,1.42,5.75,0.75,4.11,13.42,398.39,8,2,107.6,4,anionic,1.1,-1.9
Finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1.1,2.4,0.095,7.6,6,372.54,4,2,58.2,1,neutral,3.2,3.2
Fingolimod,c1(ccc(cc1)CCCCCCCC)CCC(CO)(N)CO,17.3,1.53,0.002,189,144,307.47,3,3,66.5,12,cationic,3.7,2.6
Flavopiridol,CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,1.5,6.1,0.06,4,5.2,401.84,6,3,90.2,2,zwitterionic,3.6,2.4
Flecainide,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2,6.1,4.9,0.52,21,12,414.34,5,2,59.6,7,cationic,3.1,1.6
Fleroxacin,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN(CCF)c3c2F)C(=O)O,1.6,2.4,0.73,11,8.6,369.34,6,1,64.1,4,zwitterionic,2,-0.27
Flomoxef,n1(nnnc1SCC1=C(N2[C@H](OC1)[C@@](C2=O)(OC)NC(=O)CSC(F)F)C(O)=O)CCO,0.19,4.1,0.64,0.77,0.6,496.47,13,3,169,11,anionic,-0.98,-4
Flucloxacillin,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(F)cccc4Cl,0.19,2.4,0.043,1.3,1.4,453.87,8,2,113,4,anionic,2.8,-0.5
Fluconazole,c1c(cc(c(C(Cn2ncnc2)(O)Cn2cncn2)c1)F)F,0.75,0.31,0.89,40,30,306.27,7,1,81.7,5,neutral,0.19,0.19
Flucytosine,NC1=C(F)C=NC(=O)N1,0.68,2,1,5.7,4.2,129.09,4,2,67.5,0,neutral,-2.3,-2.3
Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,2.2,3.2,0.76,12,11,285.23,9,4,139.5,2,neutral,-1.8,-1.8
Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23,0.8,16,0.58,1,0.78,303.29,6,0,64.4,3,neutral,1,1
Flunisolide,O1[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@H](C[C@@]3([C@]2(C(CO)=O)OC1(C)C)C)O,1.08,9.5,0.24,1.89,1.68,434.5,6,2,93.1,2,neutral,2.5,2.5
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)N(=O)=O,1.9,1.4,0.17,23,25,313.28,6,0,78.5,2,neutral,2.1,2.1
Fluocortolone,[C@H]12[C@H]3[C@@]([C@H]([C@@H](C3)C)C(=O)CO)(C[C@@H]([C@@H]1[C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)O)C,0.68,7,0.04,1.6,1.3,376.46,4,2,74.6,2,neutral,2.3,2.3
Fluorescein,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,0.14,1.3,0.11,1.8,1.6,332.31,5,2,76,0,neutral,3.9,3.9
"fluorodideoxycytidine, 2- (2FddC)",c1cn(c(=O)nc1N)[C@H]2[C@H](C[C@H](O2)CO)F,0.7,6.1,1,1.9,1.8,229.21,6,2,90.4,2,neutral,-1.2,-1.2
"Fluorouracil, 5-",FC1=CNC(=O)NC1=O,0.23,26,0.64,0.15,0.12,130.08,4,2,58.2,0,neutral,-0.93,-1.1
Flupentixol,c1ccc2c(c1)/C(=C/CCN3CCN(CC3)CCO)/c4cc(ccc4S2)C(F)(F)F,,4.14,,,34.2,434.52,3,1,26.7,5,cationic,4.8,3.9
Fluphenazine,[H]OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,2.9,9.7,0.04,5,12.3,437.52,4,1,29.9,7,cationic,4.5,3.7
Flupirtine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1.1,1.6,0.15,11,8.5,304.32,6,3,89.3,6,cationic,3.1,2.7
Fluticasone furoate,C[C@@H]1C[C@H]2C3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)c5ccco5)C)O)F)C)F,4.95,13.4,,,10.6,538.58,6,1,94.1,6,neutral,3.7,3.7
Fluticasone propionate,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,3.6,17,0.1,3.9,6,500.57,5,1,80.7,6,neutral,3.3,3.3
Fluvastatin,CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13,0.42,16,0.0079,0.44,0.7,411.47,5,3,82.7,8,anionic,2.9,-0.11
Fluvoxamine,c1(\C(CCCCOC)=N\OCCN)ccc(C(F)(F)F)cc1,23.5,31.95,0.2,12.26,12.5,318.33,4,1,56.8,9,cationic,3.1,1.2
Folic acid,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(=O)nc([nH]3)N,9.7,52,0.5,3.1,2.6,441.4,13,6,213.3,9,anionic,-1.3,-8.6
Folinic acid,NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N2C=O)N1,0.25,5.8,0.087,0.8,1.3,473.44,14,7,215.6,9,anionic,-2.1,-7.6
Fomepizole,c1(cn[nH]c1)C,0.35,0.73,,7.94,4.42,82.1,2,1,28.7,0,neutral,0.72,0.72
Fondaparinux,"S(=O)(=O)(O)OC[C@@H]1[C@H]([C@@H]([C@@H](NS(=O)(=O)O)[C@H](O1)OC)O)O[C@H]1[C@H](OS(=O)(=O)O)[C@H]([C@@H]([C@H](C(=O)O)O1)O[C@@H]1[C@H](NS(=O)(=O)O)[C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O)O)NS(=O)(=O)O)C(=O)O)OS(=O)(=O)O)O
",,0.07,0.21,,19.3,1508.26,52,19,805.5,30,anionic,-9,-9
Forodesine,[nH]1cnc2c([nH]cc2[C@@H]2N[C@@H]([C@H]([C@H]2O)O)CO)c1=O,,1.56,,,11.6,266.25,8,6,134.3,2,cationic,-3.9,-4.3
Fosaprepitant,n1([nH]c(nc1=O)C[N@@]1[C@H]([C@H](OCC1)O[C@H](C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1ccc(cc1)F)P(=O)(O)O,0.07,18.6,0.02,0.06,2.2,614.41,10,3,129.9,7,anionic,2.4,-3.5
Foscarnet,OC(=O)P(=O)(O)O,0.5,2.1,0.85,4,4.7,126.01,5,3,94.8,1,anionic,-1.2,-7.6
Fosfluconazole,OP(=O)(O)OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,0.15,1.3,0.042,2,2.1,386.25,10,2,128.2,7,anionic,-0.79,-5.1
Fosfomycin,C[C@@H]1O[C@@H]1P(=O)(O)O,0.32,2,1,2.7,1.9,138.06,4,2,70.1,1,anionic,-0.62,-5.7
Fosinoprilat,OC(=O)[C@@H]1C[C@H](CN1C(=O)CP(=O)(O)CCCCc2ccccc2)C3CCCCC3,0.13,0.32,0.006,6.8,9.4,435.49,6,2,94.9,9,anionic,4.2,-1
Fosphenytoin,C1(c2ccccc2)(c2ccccc2)C(=O)N(C(=O)N1)COP(=O)(O)O,0.06,3.5,0.05,0.17,0.16,362.27,8,3,116.2,5,anionic,1.7,-3.3
Fostriecin,C[C@@](O)(\C=C\[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)\C=C/C=C\C=C\CO)OP(=O)(O)O,0.086,1.2,,1.2,1.5,430.39,9,5,153.7,11,anionic,-0.81,-4.4
Fotemustin,P(=O)(OCC)(OCC)C(NC(=O)N(CCCl)N=O)C,0.62,18.5,,0.55,0.38,315.69,8,1,97.3,9,neutral,1.5,1.5
Frovatriptan,CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(=O)N,3.6,2.5,0.85,22,24,243.3,4,3,70.9,2,cationic,1.3,-0.86
Fulvestrant,[H]Oc1ccc2c(C[C@H](CCCCCCCCCS(CCCC(C(F)(F)F)(F)F)=O)C3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2O[H])c1,4.15,11.8,0.01,5.86,16,606.77,3,2,57.5,16,neutral,9,9
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,0.12,1.6,0.012,1.3,2.5,330.74,7,3,122.9,5,anionic,1.8,-1.4
Fusidate sodium,C(=O)([O-])C(=C1\[C@@H](OC(=O)C)C[C@@]2([C@@]3(CC[C@H]4[C@@H]([C@@H](CC[C@@]4(C)[C@@H]3[C@H](O)C[C@@H]12)O)C)C)C)\CC\C=C(\C)C,0.23,0.35,0.02,10.6,9.8,515.7,6,2,106.9,6,anionic,5.7,3.3
Fuzlocillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)NC(=O)N4CCN(C4=O)/N=C/c5ccco5)C(=O)O)C,0.2,3.61,,0.92,1.3,570.57,14,4,185.4,7,anionic,1.4,-2
Gabapentin,NCC1(CC(=O)O)CCCCC1,0.71,1.7,0.97,7,5.3,171.24,3,2,63.3,3,zwitterionic,0.55,-1.7
Gadobenate ,[N]1(CC(=O)[O-])([Gd+3]2[N@@](CC1)(CC[N@@]2([C@@H](C([O-])=O)COCc1ccccc1)CC(=O)[O-])CC([O-])=O)CC(=O)[O-],0.21,1.6,1,2.2,1.81,665.71,14,0,209.9,14,n/a,n/a,n/a
Gadobutrol,[Gd+3]1234567OC([C@@H](CO)[N]81CC[N]4(CC[N]3(CC[N]2(CC8)CC(=O)[O-]6)CC(=O)[O-]5)CC(=O)[O-]7)CO,0.22,2,1,1.8,1.3,603.7,13,2,134.8,2,n/a,n/a,n/a
Gadodiamide,CNC1=O[Gd+3]234567N(CCN2(C1)CC(=O)[O-]3)(CCN4(CC(=O5)NC)CC(=O)[O-]6)CC(=O)[O-]7,0.2,1.79,,1.85,1.46,576.68,13,5,131.8,0,n/a,n/a,n/a
Gadofosveset,C(C([N+]([Gd+++]([N+]1(C2)C3)([N+](C2)(C2)C4)([O-]5)([O-]6)([O-]C3=O)([O-]C4=O)[O-]C2=O)(CC6=O)CC5=O)C1)C(=CC=C1OCC)C=C1,0.15,0.1,0.16,22.7,16.3,679.73,14,0,151.1,4,n/a,n/a,n/a
Gadopentetate,O=C1C[N]23CC[N]45CC(=O)[O-][Gd+3]2424([O-]1)([O-]C(=O)C5)[O-]C(=O)C[N]2(CC3)CC(=O)[O-]4,0.27,1.94,1,2.3,1.6,545.56,13,0,141.9,0,n/a,n/a,n/a
Gadoteridol,[N]123CC[N]45CC[N]67CC[N]8(CC1)CC(=O)[O-][Gd+3]3578([OH]C(C2)C)([O-]C(=O)C4)[O-]C(=O)C6,0.2,1.5,,2.2,1.6,558.68,11,1,97.9,0,n/a,n/a,n/a
Gadoversetamide,COCCNC1=O[Gd+3]234567O=C(CN2(CCN3(CCN4(CC(=O)[O-]5)C1)CC(=O)[O-]6)CC(=O)[O-]7)NCCOC,0.16,1.2,1,2.2,1.7,664.79,15,5,150.2,6,n/a,n/a,n/a
