CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
OC1=C(C(=O)N)C(=O)[C@@H](N(C)C)[C@@H]([C@@]12O)[C@@H](O)[C@H]3C(C2=O)=C(O)c4c([C@]3(O)C)cccc4O,Oxytetracycline,2.0,,1.47,,1.7,,1.01,,0.9,,,,C[NH+](C)C1C(=O)C(C(N)=O)=C([O-])[C@@]2(O)C(=O)C3=C([O-])c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31)/p-2/t12-,13-,14?,17+,21-,22+/m1/s1",458.13362744381993
OP(=O)(O)C(O)(P([O-])(=O)O)CC[NH3+],Pamidronic acid,2.5,15.2,,,1.8,0.18,,,,,,,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],"InChI=1S/C3H11NO7P2/c4-2-1-3(5,12(6,7)8)13(9,10)11/h5H,1-2,4H2,(H2,6,7,8)(H2,9,10,11)/p-3",231.97924559573002
N/C(C)=[N+]1/C[C@H](CC1)SC(C2)=C(C([O-])=O)N([C@H]23)C(=O)[C@@H]3[C@H](O)C,Panipenem,2.6,27.7,4.85,6.52,0.19,0.2,0.21,0.3,,0.95,0.95,0.93,CC(=[NH2+])N1CC[C@H](SC2=C(C(=O)[O-])[NH+]3C(=O)C([C@@H](C)O)[C@H]3C2)C1,"InChI=1S/C15H21N3O4S/c1-7(19)12-10-5-11(13(15(21)22)18(10)14(12)20)23-9-3-4-17(6-9)8(2)16/h7,9-10,12,16,19H,3-6H2,1-2H3,(H,21,22)/p+1/t7-,9+,10-,12?/m1/s1",340.13255360408994
COc1c(OC)ccnc1CS(=O)c(n2)[nH]c(c23)cc(cc3)OC(F)F,Pantoprazole,2.2,8.5,,,0.17,0.35,,,0.02,,,,COc1ccnc(C[S+](O)c2nc3ccc(OC(F)F)cc3[n-]2)c1OC,"InChI=1S/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15,22H,8H2,1-2H3",383.0751334
COc(c1)c(OC)cc(c12)c(ncc2)Cc3cc(OC)c(OC)cc3,Papaverine,11.0,,21.8,,0.95,,3.01,,0.073,0.09,0.1,,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3",339.147058152
CN1CCN(CC1)c(c(F)c2)cc(c23)n(CC)cc(c3=O)C(=O)O,Pefloxacin,2.0,28.47,7.89,11.03,1.5,2.79,1.07,0.65,0.75,0.28,0.19,0.21,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,"InChI=1S/C17H20FN3O3/c1-3-20-10-12(17(23)24)16(22)11-8-13(18)15(9-14(11)20)21-6-4-19(2)5-7-21/h8-10H,3-7H2,1-2H3,(H,23,24)",333.14886972
[H]/N=C(\N)c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(N)=N/[H],Pentamidine,74.0,111.5,60.6,,53.0,10.1,6.6,,0.2386,0.4,0.2659,,[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1,"InChI=1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)/p+2",342.20447891218004
Oc(c1)ccc(c1[C@@]23C)C[C@H]([C@@H]2C)N(CC3)CC=C(C)C,Pentazocine,23.0,,,56.6,3.4,,,9.62,0.39,,,,CC(C)=CC[NH+]1CC[C@@]2(C)c3cc([O-])ccc3C[C@@H]1[C@@H]2C,"InChI=1S/C19H27NO/c1-13(2)7-9-20-10-8-19(4)14(3)18(20)11-15-5-6-16(21)12-17(15)19/h5-7,12,14,18,21H,8-11H2,1-4H3/t14-,18+,19+/m0/s1",285.209264484
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,Pentobarbital,0.47,8.4,1.3,,0.91,1.64,1.06,,0.39,0.5,,,CCCC(C)C1(CC)C(=O)[N-]C(=O)[N-]C1=O,"InChI=1S/C11H18N2O3/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)/p-2",224.11718953182
O=C(C)CCCCn(c(=O)n1C)c(=O)c(c12)n(cn2)C,Pentoxifylline,39.0,7.28,37.0,,1.8,0.1,1.01,,0.5109,0.76,0.4246,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3",278.13789043599996
CCOc1ccc(cc1)NC(=O)C,Phecetin,21.0,,15.7,,1.4,,0.89,,0.47,,,,CCOc1ccc(NC(C)=O)cc1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",179.094628656
C1CCCCN1C2(CCCCC2)c3ccccc3,Phencyclidine,5.1,66.3,54.1,36.6,6.9,12.6,16.6,6.78,0.35,0.37,0.43,0.3143,c1ccc(C2([NH+]3CCCCC3)CCCCC2)cc1,"InChI=1S/C17H25N/c1-4-10-16(11-5-1)17(12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11H,2-3,6-9,12-15H2/p+1",244.20597625208998
O=C1NC(=O)NC(=O)C1(CC)c2ccccc2,Phenobarbital,0.06,0.8,0.1,,0.54,1.02,0.79,,0.49,0.64,0.54,,CCC1(c2ccccc2)C(=O)[N-]C(=O)[N-]C1=O,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)/p-2",230.07023933982
O=C1CC(C)C(=NN1)c(cc2)cc(c23)[nH]c(n3)-c4ccc(OC)cc4,Pimobendan,14.0,163.0,,,2.04,3.5,,,0.024,,,,COc1ccc(-c2nc3ccc(C4=N[N-]C(=O)CC4C)cc3[n-]2)cc1,"InChI=1S/C19H17N4O2/c1-11-9-17(24)22-23-18(11)13-5-8-15-16(10-13)21-19(20-15)12-3-6-14(25-2)7-4-12/h3-8,10-11H,9H2,1-2H3,(H-,20,21,22,23,24)/q-1/p-1",332.12842291182005
CC(C)NCC(O)COc(ccc1)c(c12)cc[nH]2,Pindolol,7.7,48.3,89.2,,1.2,1.36,17.0,,0.58,0.57,0.5561,,CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,"InChI=1S/C14H20N2O2/c1-10(2)16-8-11(17)9-18-14-5-3-4-13-12(14)6-7-15-13/h3-7,10-11,15-17H,8-9H2,1-2H3/p+1",249.15975433209
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCN(C(=O)C4=O)CC,Piperacillin,4.0,17.7,6.6,7.2,0.27,0.39,0.24,0.26,0.5,0.61,0.84,0.95,CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/p+2/t13?,14?,15?,20-/m1/s1",519.1776721081799
c1ccccc1C(O)(c2ncccc2)CCCN3[C@H](C)CCC[C@@H]3C,Pirmenol,1.8,62.0,8.3,4.92,1.4,2.6,2.1,0.87,0.13,0.49,0.4916,0.4199,C[C@@H]1CCC[C@H](C)[NH+]1CCCC(O)(c1ccccc1)c1ccccn1,"InChI=1S/C22H30N2O/c1-18-10-8-11-19(2)24(18)17-9-15-22(25,20-12-4-3-5-13-20)21-14-6-7-16-23-21/h3-7,12-14,16,18-19,25H,8-11,15,17H2,1-2H3/p+1/t18-,19+,22?",339.24309003209004
CC[C@H](C)C(=O)O[C@@H](C[C@H](O)C=1)[C@@H](C12)[C@H]([C@@H](C)C=C2)CC[C@@H](O)C[C@@H](O)CC(=O)O,Pravastatin,14.0,36.0,,,0.46,0.19,,,0.5,0.33,,,CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,"InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)/p-1/t13?,14-,16+,17+,18+,19-,20-,22-/m0/s1",423.2388270399099
o1cccc1C(=O)N2CCN(CC2)c(nc3N)nc(c34)cc(OC)c(c4)OC,Prazosin,4.7,68.8,14.1,,0.73,5.11,2.17,,0.06,0.19,0.2416,,COc1cc2nc(N3CC[NH+](C(=O)c4ccco4)CC3)nc(N)c2cc1OC,"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)/p+1",384.16663060409
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H]([C@@H](O)C2)[C@]4(C)C(CC3)=CC(=O)C=C4,Prednisolone,2.9,98.7,,,0.86,1.74,,,0.25,0.32,,,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",360.1936739959999
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](C(=O)C2)[C@]4(C)C(CC3)=CC(=O)C=C4,Prednisone,2.5,154.7,24.9,9.8,0.57,1.3,2.3,1.7,0.27,0.41,0.5,0.2612,C[C@]12C=CC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18?,19-,20-,21-/m0/s1",358.1780239319999
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,Probenecid,0.25,,0.34,,0.13,,0.46,,0.13,,0.15,,CCC[NH+](CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,"InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)",285.10347908800003
Nc1ccc(cc1)C(=O)NCCN(CC)CC,Procaimide,10.0,120.0,8.7,,2.2,4.86,1.95,,0.84,0.72,1.0,,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,"InChI=1S/C13H21N3O/c1-3-16(4-2)10-9-15-13(17)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3,(H,15,17)/p+1",236.17573874408998
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,Propafenone,16.0,28.1,27.9,,2.2,1.4,2.72,,0.038,0.09,0.09,,CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,"InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3/p+1",342.20637017609
CC(C)c1c(O)c(C(C)C)ccc1,Propofol,36.0,107.3,39.8,,4.7,1.37,2.46,,0.016,0.03,0.02,,CC(C)c1cccc(C(C)C)c1[O-],"InChI=1S/C12H18O/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9,13H,1-4H3/p-1",177.12848874391
CC(C)NCC(O)COc(ccc1)c(c12)cccc2,Propranolol,12.0,94.3,51.8,20.8,3.1,4.58,6.79,2.28,0.13,0.1,0.04,0.03,CC(C)[NH2+]CC(O)COc1cccc2ccccc12,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3/p+1",260.16450536409
c1cccc(c12)cc(cc2)S(=O)(=O)N[C@H](C(=O)N(C3CC3)CC(=O)O)CC(=O)NC[C@@H]4CCCN(C4)/C(N)=N/[H],psagatran,6.4,65.4,26.1,19.2,0.36,0.6,0.64,0.32,,0.33,0.52,,[H]/[NH+]=C(\N)N1CCC[C@@H](CNC(=O)CC(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)[NH+](CC(=O)[O-])C2CC2)C1,"InChI=1S/C26H34N6O6S/c27-26(28)31-11-3-4-17(15-31)14-29-23(33)13-22(25(36)32(16-24(34)35)20-8-9-20)30-39(37,38)21-10-7-18-5-1-2-6-19(18)12-21/h1-2,5-7,10,12,17,20,22,30H,3-4,8-9,11,13-16H2,(H3,27,28)(H,29,33)(H,34,35)/p+1/t17-,22?/m0/s1",559.23333026009
Oc(c1)cc(O)c(c12)c(=O)c(O)c(o2)-c3cc(O)c(O)cc3,Quercetin,11.0,115.9,,,0.12,0.28,,,0.009,0.02,,,O=c1c([O-])c(-c2ccc([O-])c([O-])c2)oc2cc([O-])cc([O-])c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H/p-5",297.00627039955003
C=C[C@H]([C@@H]12)CN(CC1)[C@H](C2)[C@@H](O)c(ccn3)c(c34)cc(cc4)OC,Quinidine,4.0,18.63,3.58,22.4,2.9,5.28,4.26,1.51,0.26,0.32,0.12,0.2027,C=C[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/p+1/t13-,14-,19+,20-/m0/s1",325.19105446009
C=CC([C@@H]12)CN(CC1)C(C2)C(O)c(ccn3)c(c34)cc(cc4)OC,Quinine,1.9,87.92,8.11,,1.8,6.12,3.74,,0.3,0.36,0.0096,,C=CC1C[NH+]2CC[C@H]1CC2C(O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/p+1/t13?,14-,19?,20?/m0/s1",325.19105446009
c1cccc(c12)[nH]c(n2)S(=O)Cc3nccc(c3C)OCCCOC,Rabeprazole,4.0,82.4,86.0,,0.22,1.04,2.62,,0.037,0.073,0.0864,,COCCCOc1ccnc(C[S+](O)c2nc3ccccc3[n-]2)c1C,"InChI=1S/C18H21N3O3S/c1-13-16(19-9-8-17(13)24-11-5-10-23-2)12-25(22)18-20-14-6-3-4-7-15(14)21-18/h3-4,6-9,22H,5,10-12H2,1-2H3",359.13036253200005
CN(C)Cc1oc(cc1)CSCCN/C(NC)=C/[N+]([O-])=O,Ranitidine,9.6,31.9,11.6,,1.2,2.87,1.65,,0.95,1.0,0.8546,,C[NH2+]/C(=C\[N+](=O)[O-])[NH2+]CCSCc1ccc(C[NH+](C)C)o1,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/p+3/b13-9+",317.16309092027
c1cc(O)c(O)c(c12)c3c4c(ccc3)CCN(C)[C@@H]4C2,R-Apomorphine,40.0,196.0,,,1.6,2.7,,,0.057,0.1,,,C[NH+]1CCc2cccc3c2[C@H]1Cc1ccc([O-])c([O-])c1-3,"InChI=1S/C17H17NO2/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12/h2-6,13,19-20H,7-9H2,1H3/p-1/t13-/m1/s1",266.11865233191
CC(C)NCCCNC(=O)Nc1c(C)cccc1C,Recaim,4.5,82.0,13.0,26.7,1.4,3.2,1.2,3.0,0.86,0.88,0.7,0.69,Cc1cccc(C)c1NC(=O)NCCC[NH2+]C(C)C,"InChI=1S/C15H25N3O/c1-11(2)16-9-6-10-17-15(19)18-14-12(3)7-5-8-13(14)4/h5,7-8,11,16H,6,9-10H2,1-4H3,(H2,17,18,19)/p+1",264.20703887209
c1ccccc1N(C(=O)CC)C2(C(=O)OC)CCN(CC2)CCC(=O)OC,Remifentanil,37.0,,63.1,,0.4,,0.22,,0.3,,,,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1,"InChI=1S/C20H28N2O5/c1-4-17(23)22(16-8-6-5-7-9-16)20(19(25)27-3)11-14-21(15-12-20)13-10-18(24)26-2/h5-9H,4,10-15H2,1-3H3/p+1",377.20709844808994
c1ccccc1C[C@H](CS(=O)(=O)C(C)(C)C)C(=O)N[C@@H](Cc2[nH]cnc2)C(=O)N[C@H]([C@@H](O)[C@@H](O)C3CC3)CC4CCCCC4,Remikiren,11.6,119.0,24.7,20.0,0.77,4.4,1.52,1.7,0.0558,0.053,0.0802,0.1665,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[n-]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,"InChI=1S/C33H50N4O6S/c1-33(2,3)44(42,43)20-25(16-22-10-6-4-7-11-22)31(40)37-28(18-26-19-34-21-35-26)32(41)36-27(17-23-12-8-5-9-13-23)30(39)29(38)24-14-15-24/h4,6-7,10-11,19,21,23-25,27-30,38-39H,5,8-9,12-18,20H2,1-3H3,(H3,34,35,36,37,40,41)/p-1/t25?,27-,28?,29-,30+/m0/s1",629.3378298679102
COc1ccc(Br)c(OC)c1C(=O)NC[C@H]2N(CC)CCC2,Remoxipride,1.7,170.0,4.9,,0.65,4.5,1.6,,0.16,0.74,0.12,,CC[NH+]1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,"InChI=1S/C16H23BrN2O3/c1-4-19-9-5-6-11(19)10-18-16(20)14-13(21-2)8-7-12(17)15(14)22-3/h7-8,11H,4-6,9-10H2,1-3H3,(H,18,20)/p+1/t11-/m0/s1",371.09648114808994
c1cccc(c12)S(=O)(=O)N(C2=O)CCCCNC[C@H](O3)CCc(c34)cccc4,Repinotan,2.2,38.3,,,0.21,1.48,,,,0.054,,,O=C1c2ccccc2S(=O)(=O)[NH+]1CCCC[NH2+]C[C@H]1CCc2ccccc2O1,"InChI=1S/C21H24N2O4S/c24-21-18-8-2-4-10-20(18)28(25,26)23(21)14-6-5-13-22-15-17-12-11-16-7-1-3-9-19(16)27-17/h1-4,7-10,17,22H,5-6,11-15H2/p+2/t17-/m1/s1",402.16023115217996
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2nc(nc2)C(=O)N,Ribavirin,5.2,43.0,,3.7,14.0,11.4,,29.4,1.0,0.95,,0.4973,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,"InChI=1S/C8H12N4O5/c9-6(16)7-10-2-12(11-7)8-5(15)4(14)3(1-13)17-8/h2-5,8,13-15H,1H2,(H2,9,16)/t3-,4-,5-,8-/m1/s1",244.080769484
FC(F)(F)c1cccc(c1)/C(c2cccnc2)=N\OCCCCC(=O)O,Ridogrel,1.05,2.0,,,0.43,0.78,,,0.033,0.05,,,O=C([O-])CCCCO/N=C(/c1cccnc1)c1cccc(C(F)(F)F)c1,"InChI=1S/C18H17F3N2O3/c19-18(20,21)15-7-3-5-13(11-15)17(14-6-4-9-22-12-14)23-26-10-2-1-8-16(24)25/h3-7,9,11-12H,1-2,8,10H2,(H,24,25)/p-1/b23-17+",365.11185061191
Fc(c1)ccc(c12)c(no2)C3CCN(CC3)CCc(c(n4)C)c(=O)n(c45)CCCC5,Risperidone,5.4,71.7,,,1.1,3.6,,,0.1,0.118,0.083,0.084,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,"InChI=1S/C23H27FN4O2/c1-15-18(23(29)28-10-3-2-4-21(28)25-15)9-13-27-11-7-16(8-12-27)22-19-6-5-17(24)14-20(19)30-26-22/h5-6,14,16H,2-4,7-13H2,1H3/p+1",411.21908077609
s1ccn(c12)c(=O)c(c(n2)C)CCN3CCC(CC3)=C(c4ccc(F)cc4)c5ccc(F)cc5,Ritanserin,0.51,26.7,,,1.41,8.0,,,0.008,0.015,,,Cc1nc2sccn2c(=O)c1CC[NH+]1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"InChI=1S/C27H25F2N3OS/c1-18-24(26(33)32-16-17-34-27(32)30-18)12-15-31-13-10-21(11-14-31)25(19-2-6-22(28)7-3-19)20-4-8-23(29)9-5-20/h2-9,16-17H,10-15H2,1H3/p+1",478.17591631209
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C(S2)COC(=O)N,Ritipenem,7.55,15.5,7.4,4.65,0.24,0.05,0.22,0.14,0.72,0.5,0.95,0.56,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)S[C@H]12,"InChI=1S/C10H12N2O6S/c1-3(13)5-7(14)12-6(9(15)16)4(19-8(5)12)2-18-10(11)17/h3,5,8,13H,2H2,1H3,(H2,11,17)(H,15,16)/t3-,5?,8-/m1/s1",288.04160710400004
CN(C)CCc(c[nH]1)c(c12)cc(cc2)Cn3ncnc3,Rizatriptan,16.0,79.0,40.0,,1.9,,2.5,,0.86,,,,C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,"InChI=1S/C15H19N5/c1-19(2)6-5-13-8-17-15-4-3-12(7-14(13)15)9-20-11-16-10-18-20/h3-4,7-8,10-11,17H,5-6,9H2,1-2H3/p+1",270.17132206009
Nc1scc(n1)/C(=N/O)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)/C=C4/C(=O)N(CC4)CC(F)(F)F,Ro25-6833,0.38,0.95,2.7,0.77,0.11,0.15,0.18,0.12,0.043,0.025,0.16,0.05,Nc1nc(C(=NO)C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])=C(C=C4CC[NH+](CC(F)(F)F)C4=O)CS[C@H]23)cs1,"InChI=1S/C19H17F3N6O6S2/c20-19(21,22)6-27-2-1-7(14(27)30)3-8-4-35-16-11(15(31)28(16)12(8)17(32)33)25-13(29)10(26-34)9-5-36-18(23)24-9/h3,5,11,16,34H,1-2,4,6H2,(H2,23,24)(H,25,29)(H,32,33)/p+1/t11?,16-/m1/s1",547.06758537609
[C@H]12CSSCC/C=C\[C@H](CC(=O)NC(C(=O)N1)C(C)C)OC(=O)C(C(C)C)NC(=O)C(\NC2=O)=C\C,Romidepsin,7.4,625.0,,27.9,1.2,63.8,,4.95,,,,,CCC1=NC(=O)C2CSSCC/C=C\[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,"InChI=1S/C24H36N4O6S2/c1-6-16-21(30)28-20(14(4)5)24(33)34-15-9-7-8-10-35-36-12-17(22(31)25-16)26-23(32)19(13(2)3)27-18(29)11-15/h7,9,13-15,17,19-20H,6,8,10-12H2,1-5H3,(H,26,32)(H,27,29)(H,28,30)/b9-7-,25-16?/t15-,17?,19?,20?/m1/s1",540.207626872
CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C,Ropivacaine,5.5,,30.0,,0.75,,1.42,,0.06,,,,CCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,"InChI=1S/C17H26N2O/c1-4-11-19-12-6-5-10-15(19)17(20)18-16-13(2)8-7-9-14(16)3/h7-9,15H,4-6,10-12H2,1-3H3,(H,18,20)/p+1",275.21178990409
c1cccc(c12)n(C)c(=O)c(c2O)C(=O)N(C)c3ccccc3,Roquinimex,0.08,0.17,,,0.21,0.32,,,,,,,CN(C(=O)c1c([O-])c2ccccc2n(C)c1=O)c1ccccc1,"InChI=1S/C18H16N2O3/c1-19(12-8-4-3-5-9-12)17(22)15-16(21)13-10-6-7-11-14(13)20(2)18(15)23/h3-11,21H,1-2H3/p-1",307.10881591991
O=C1NC(=O)SC1Cc2ccc(cc2)OCCN(C)c3ncccc3,Rosiglitazone,0.65,1.3,,,0.2,0.2,,,0.002,,,,CN(CCOc1ccc(Cc2sc(=O)[n-]c2O)cc1)c1ccccn1,"InChI=1S/C18H19N3O3S/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15/h2-9H,10-12H2,1H3,(H2,20,22,23)/p-1",356.10743601591
c1cccc(c12)sc(n2)N(C)C3CCN(CC3)CC(O)COc4ccc(F)cc4,Sabeluzole,4.05,35.9,,,5.5,5.8,,,0.014,0.016,,,C[NH+](c1nc2ccccc2s1)C1CC[NH+](CC(O)COc2ccc(F)cc2)CC1,"InChI=1S/C22H26FN3O2S/c1-25(22-24-20-4-2-3-5-21(20)29-22)17-10-12-26(13-11-17)14-18(27)15-28-19-8-6-16(23)7-9-19/h2-9,17-18,27H,10-15H2,1H3/p+2",417.1875291961799
C1CCC[C@H]([C@H]12)C[C@@H](C(=O)NC(C)(C)C)N(C2)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c(cc4)nc(c45)cccc5,Saquivir,13.0,80.0,,,3.6,3.0,,,0.028,0.007,,,CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/p+1/t26-,27+,30-,31?,32?,33+/m0/s1",671.3915451520899
